iter	Logloss
0	0.6616269985
1	0.6400321687
2	0.6218088642
3	0.6091426126
4	0.593776375
5	0.5776944424
6	0.5640806247
7	0.5465023416
8	0.5342910022
9	0.5253109666
10	0.5152173004
11	0.5038767674
12	0.4940544645
13	0.4868879812
14	0.4799839283
15	0.4744067561
16	0.4684003535
17	0.4618849899
18	0.4560375731
19	0.4520084058
20	0.4496671403
21	0.4455551029
22	0.4422780902
23	0.4386629579
24	0.4349462768
25	0.4309778334
26	0.4266713579
27	0.4234691917
28	0.4208624012
29	0.4172232283
30	0.4133146911
31	0.4101905228
32	0.4066285879
33	0.4044740396
34	0.4022900372
35	0.3999428813
36	0.3962978107
37	0.3933700835
38	0.3912523327
39	0.3893302341
40	0.3875203211
41	0.3849303622
42	0.3813298512
43	0.3795401579
44	0.3777183627
45	0.3756954279
46	0.3745320621
47	0.3721353723
48	0.3685780176
49	0.3666451846
50	0.3644727898
51	0.3625128359
52	0.3611869702
53	0.3603816241
54	0.3589946205
55	0.3575038121
56	0.3554533469
57	0.3544003558
58	0.3526025592
59	0.3511301005
60	0.3494132977
61	0.3483027315
62	0.3451450366
63	0.3435203665
64	0.3422728055
65	0.3398198907
66	0.3384821915
67	0.3351317272
68	0.3340114547
69	0.3331120643
70	0.3316301761
71	0.330173286
72	0.3295149402
73	0.3284217251
74	0.327965998
75	0.326895177
76	0.325451836
77	0.3241105715
78	0.3228759302
79	0.3219435996
80	0.3206056291
81	0.3191826574
82	0.3170886298
83	0.3160838067
84	0.3150899429
85	0.3140124397
86	0.3130192983
87	0.3106870673
88	0.3086032289
89	0.3064107506
90	0.3045562329
91	0.3036882897
92	0.3032737393
93	0.3023178544
94	0.3009276354
95	0.299599163
96	0.2985231386
97	0.2976560481
98	0.2963154131
99	0.2953530971
100	0.2938846367
101	0.2921889397
102	0.2912673989
103	0.2908713415
104	0.2899327842
105	0.2890518814
106	0.2877014216
107	0.2861652651
108	0.2856113027
109	0.2849765787
110	0.2834395133
111	0.282771452
112	0.2818654802
113	0.280738513
114	0.2796022633
115	0.2784442112
116	0.2768195107
117	0.2764915835
118	0.2746645346
119	0.2741106229
120	0.2735159376
121	0.2730516696
122	0.272269802
123	0.2716145953
124	0.2700178777
125	0.2696331973
126	0.2687925808
127	0.2678067501
128	0.2670115806
129	0.2661414415
130	0.2650632281
131	0.2648297733
132	0.2641863323
133	0.2633376158
134	0.2624160548
135	0.2618961133
136	0.2610855531
137	0.2603947796
138	0.2588774088
139	0.2572879943
140	0.2563730877
141	0.255620423
142	0.2547856722
143	0.2529240087
144	0.2521549733
145	0.251364926
146	0.2497787973
147	0.2479468403
148	0.2466480849
149	0.2460545051
150	0.2452747825
151	0.2450248285
152	0.2444880853
153	0.2432525546
154	0.2427631619
155	0.242539777
156	0.2416327878
157	0.2409543357
158	0.2403394807
159	0.2395237168
160	0.2390836843
161	0.2384152677
162	0.2376409771
163	0.2366811768
164	0.2348687719
165	0.234401346
166	0.2328825341
167	0.2319733183
168	0.2312841602
169	0.230660684
170	0.2290393349
171	0.2284538832
172	0.2277364829
173	0.2257753764
174	0.2252312491
175	0.2233510187
176	0.2228425947
177	0.2223245372
178	0.220695856
179	0.2199697354
180	0.2193348605
181	0.2184913142
182	0.2180382152
183	0.2175915474
184	0.2170264272
185	0.2166246823
186	0.216210961
187	0.2155026194
188	0.2152076298
189	0.2138091126
190	0.2122242751
191	0.2109937092
192	0.2099905838
193	0.2095110469
194	0.2084723047
195	0.2076214939
196	0.2071555116
197	0.2064088203
198	0.2062315672
199	0.2056559563
